Title,Speaker,Scripture,Date_Dirty,Date,YouTube URL,ID,Sort ID,Spotify URL
Growing in Maturity,Charles Efedua,Ephesians 4:1-16,Sun Aug 15 2021 00:00:00 GMT+0100 (British Summer Time),15 August 2021,,VdqJwEhrKLU,213,
Restless Cycles,Adrian Yeboah,Ecclesiastes 1:1-11,Sun Aug 15 2021 00:00:00 GMT+0100 (British Summer Time),15 August 2021,,Pd9y1fCYU90,212,
Does the Gospel Need a Private Jet?,Wale Akinrogunde,Acts 2:41-47,Sun Aug 08 2021 00:00:00 GMT+0100 (British Summer Time),08 August 2021,,adDL7fKXJPc,211,
Why We Fellowship,Ryan King,Acts 2:42-47,Sun Aug 08 2021 00:00:00 GMT+0100 (British Summer Time),08 August 2021,,meXG1FYroKI,210,
Why We Take the Lord's Supper,Ryan King,1 Corinthians 11:17-34,Sun Aug 01 2021 00:00:00 GMT+0100 (British Summer Time),01 August 2021,,psTP9AUG1tQ,209,
Forgiven and Forgiving,Charles Efedua,Matthew 6:12,Sun Jul 25 2021 00:00:00 GMT+0100 (British Summer Time),25 July 2021,,syTgJrGCKMk,208,
Why We Baptise,Ryan King,Acts 2:38,Sun Jul 25 2021 00:00:00 GMT+0100 (British Summer Time),25 July 2021,,UjSEe-GRHBA,207,
Praying in Your Daily Needs,Charles Efedua,Matthew 6:11,Sun Jul 18 2021 00:00:00 GMT+0100 (British Summer Time),18 July 2021,,0t4QT5HTeqk,206,
Why We Preach,Ryan King,Ezekiel 37:1-14,Sun Jul 18 2021 00:00:00 GMT+0100 (British Summer Time),18 July 2021,,dpIl81EOdGY,205,
God's Will for Our Lives,Charles Efedua,Matthew 6:10,Sun Jul 11 2021 00:00:00 GMT+0100 (British Summer Time),11 July 2021,,XDRsbuPb7Cg,204,
Why We Pray,Ryan King,Nehemiah 1:4-11,Sun Jul 11 2021 00:00:00 GMT+0100 (British Summer Time),11 July 2021,,C8E5Z6M4xcE,203,
True Catholic Christianity vs Roman Catholicism,Regan King,Various Scriptures,Sun Jul 04 2021 00:00:00 GMT+0100 (British Summer Time),04 July 2021,,jpGqyr6PeFI,202,
Why We Sing,Ryan King,Ephesians 5:1-21 & Colossians 3:1-17,Sun Jul 04 2021 00:00:00 GMT+0100 (British Summer Time),04 July 2021,,mHWYYsmQqQo,201,
What's the Deal With Deacons?: Reward,Ryan King,1 Timothy 3:13,Sun Jun 27 2021 00:00:00 GMT+0100 (British Summer Time),27 June 2021,,BezGIpCtQT8,200,
A Picture of Biblical Love,Charles Efedua,1 Corinthians 13,Sun Jun 20 2021 00:00:00 GMT+0100 (British Summer Time),20 June 2021,,5-V1QMzO14o,199,
